time,length,slope
   1,     2,2.00000
   2,     4,2.00000
   3,     6,2.00000
   4,     8,2.00000
   5,     8,1.60000
   6,    10,1.66667
   7,    13,1.85714
   8,    13,1.62500
   9,    13,1.44444
  10,    13,1.30000
[0, 2, 4, 6, 8, 8, 10, 13, 13, 13, 13]
