time,length,slope
   1,     2,2.00000
   2,     4,2.00000
   3,     6,2.00000
   4,     7,1.75000
   5,     8,1.60000
   6,    12,2.00000
   7,    16,2.28571
   8,    17,2.12500
   9,    17,1.88889
  10,    17,1.70000
[0, 2, 4, 6, 7, 8, 12, 16, 17, 17, 17]
