time,length,slope
   1,     2,2.00000
   2,     4,2.00000
   3,     6,2.00000
   4,     7,1.75000
   5,     8,1.60000
   6,    10,1.66667
   7,    13,1.85714
   8,    16,2.00000
   9,    16,1.77778
  10,    17,1.70000
[0, 2, 4, 6, 7, 8, 10, 13, 16, 16, 17]
