time,length,slope
1.00,  2.00,2.00000
5.00, 10.00,2.00000
6.00, 11.00,1.83333
7.00, 14.00,2.00000
8.00, 16.00,2.00000
9.00, 20.00,2.22222
[0, 2.0, 10.0, 11.0, 14.0, 16.0, 20.0, 25.0]
